CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,P200_N,INF_600,P601,P602,P603,P604,P605_1,P605_2,P605_3,P605_4,P605_5,P605_6,P605_7,P605_8,P605_9,P605_10,P605_11,P605_12,P606,P607,P608,P609_COD,P611_COD,P612,P613,P614,P614_T,P615_1,P615_2,P615_3,P615_4,P615_5,P615_6,P615_7,P615_8,P615_9,P615_10,P615_11,P615_12,P615_13,P615_14,P615_T,P616,P616A,P617,P618,P619,P620,P621,P622_1,P622_2,P623_1,P623_2,P623_3,P624_1,P624_2,P624_3,P624_4,P625,P625A_COD_DEPA,P625_COD_PROV,P625_COD_DIST,P626,P627,P628,P629,P630,P631,P632_1,P632_2,P632_3,P632_4,P632_5,P632_6,P632_7,P632_8,P632_9,P632_10,P632_I,P633,P634_1,P634_2,P634_3,P634_4,P634_5,P634_6,P634_7,P635,P636,P637_COD,P638_1,P638_1_1,P638_1_2,P638_2,P638_2_1,P638_2_2,P638_3,P638_3_1,P638_3_2,P638_4,P638_4_1,P638_4_2,P639_1,P639_1_1,P639_1_2,P639_1_3,P639_2,P639_2_1,P639_2_2,P639_2_3,POB_MIGRANTE,SEXO,EDAD_SIMPLE,EDAD_QUINQUENAL,OCUP600,PETA1,CONDACTIV,PEA,div,RAMA02A,rama01,rrama,secc,nrama1,nrama2,nrama3,nrama12,GOCUP_PERU,GOCUP_VENEZUELA,GEDAD1,GEDAD2,P625_D,P625_P,M622_1,M622_2,INGTOT,INGTOT_MONETARIO,INGTOT_NO_MONETARIO,factorfinal
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12096,09363,1,1,1,4,1,1,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,52.7032816250014
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09368,4,1,1,3,1,1,1,5,1,1,1,1, , , , , , , , , , , , , , , , , ,7421,9512,2, ,1,1,0,10,10,10,10,10,10,0,0,0,0,0,0,0,60,1, ,2, ,2, , , , ,2000,0,0, , ,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,9622,2, , ,2, , ,2, , ,2, , ,1,2,2,1,2, , , ,1,1,4,10,1,1,1,1,95,31,2,1,19,8,6,5,11,7,9,3,3,1,1, , ,2000,2000,0,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09368,4,1,1,3,1,1,1,5,2,2,1,1, , , , , , , , , , , , , , , , , ,9412,1020,3,2,1,4,0,8,8,8,8,8,8,0,0,0,0,0,0,0,48,1, ,2, ,1,1,2,240,42, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2411,2, , ,2, , ,2, , ,2, , ,2, , , ,2, , , ,1,2,4,8,1,1,1,1,10,6,2,1,3,4,2,2,3,9, ,2,2,1,1,1039.2,181.86,1221.06,1039.2,181.86,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09368,4,1,1,3,1,1,1,5,3,3,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,2, , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , ,1,1,2,3, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09368,4,1,1,3,1,1,1,5,4,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,2, , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09368,4,1,1,3,1,1,1,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09369,5,1,1,3,1,1,1,4,1,1,1,1, , , , , , , , , , , , , , , , , ,9321,1020,3,2,1,11,0,9,9,9,9,9,9,0,0,0,0,0,0,0,54,2,72,2, ,2,1,2,350,49, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,3,1,4416,2, , ,2, , ,2, , ,2, , ,2, , , ,2, , , ,1,2,3,7,1,1,1,1,10,6,2,1,3,4,2,2,3,9,4,2,2,1,1,1515.5,212.17,1727.67,1515.5,212.17,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09369,5,1,1,3,1,1,1,4,2,2,1,1, , , , , , , , , , , , , , , , , ,5141,9602,2, ,1,1,12,12,12,12,12,12,12,0,0,0,0,0,0,0,84,1, ,2, ,1, , , , ,1000,0,0, , ,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2221,2, , ,2, , ,2, , ,2, , ,2, , , ,2, , , ,1,1,4,8,1,1,1,1,96,41,11,4,19,8,6,5,11,5, ,2,2,1,1, , ,1000,1000,0,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09369,5,1,1,3,1,1,1,4,3,1,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,2, , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12097,09369,5,1,1,3,1,1,1,4,4,1,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,2, , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
